seal_id,tamil_reading,hypothesis,confidence,source
1228,மீ மீ க ொழி (ஊர்) ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1229,மீ மீ ெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1232,மீ மீ ளொர் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1235,ை இல் ைொ ைன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1237,மயில் ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1274,மீ மீ க ொயில் ண் அல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1275,[வய(து)] மூ ை ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1287,ஓர் ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1314,சண்ணொ ஆறுளன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1326,மீ மீ ை இள(ம்) பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1335,வ ை சங் ஆ (சிறந் தவள்லள ஆ),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1339,மூ வ ல ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1341,வ ண்ணொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1344,"வ "" ஏழு (இள)ஞொன் ஆ",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1345,வ ை இள ை வ்யமூன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1348,வ ை ெ ள ன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1350,இள ை சொ ண ண் (ண ர ம ர மயக் ம்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1373,வ ை ெளன் இரு ைொ ரின் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1374,இள ண்ண ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1386,மீ மீ வ ஆக்( ள்) த ொழு (Zebu cattle shed),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1387,மீ மீ வ ை ள ன் த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1407,வ ண்(ண) ய் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1414,இள வய(து) மூ-பன்னிரு (36) ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1427,ய் ெ ர் = ெய்க் ர்= தெய்க் ொரர்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1447,ம ைொ ை சொ ண =குவிக் ப்பட்ை சொணம்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1456,மீ மீ ை வய(து) மூ(த் ) ச ண= சிறந் மூத் சொணம்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1466,மீ மீ க ொயில் ஏழு ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1533,சொ ண(ம்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1534,மூப மூப்ப ைொ ள ன் த ொழுவம்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1551,மீ மீ இரு ள ன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1561,க ொயில் மலை ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1628,பக் ம் 1- ள வ்வ இரு ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1628,பக் ம் 2- ள ம ச ண,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1707,க ொயில் இை ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1708,க ொயில் இை ண்ண ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1771,வன ை ளொர் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1801,வண்ண ை ளொர் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2014,ஆ த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2015,வ்யமூன் = பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2056,வ வ ண ை ன ய்யொ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2057,மீ மீ ஓர் ண் ஆ (ஆ தெடில் குறி),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2059,மீ மீ சொ ண,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2060,மீ மீ சொ ண,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2061,ஆமு ண் ண(ல்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
